"","obs","level","variable","topic"
"1",1,"Intermediate","topic1","packages"
"2",3,"Advanced","topic1","packages"
"3",4,"Intermediate","topic1","packages"
"4",5,"Beginner","topic1","introduction"
"5",6,"Beginner","topic1","introduction"
"6",7,"Intermediate","topic1","packages"
"7",8,"Intermediate","topic1","other R aspects"
"8",9,"Advanced","topic1","packages"
"9",10,"Intermediate","topic1","packages"
"10",11,"Intermediate","topic1","other R aspects"
"11",12,"Advanced","topic1","introduction"
"12",13,"Advanced","topic1","packages"
"13",14,"Beginner","topic1","introduction"
"14",15,"Beginner","topic1","introduction"
"15",16,"Advanced","topic1","packages"
"16",17,"Intermediate","topic1","packages"
"17",18,"Beginner","topic1","introduction"
"18",19,"Intermediate","topic1","packages"
"19",20,"Intermediate","topic1","other R aspects"
"20",21,"Intermediate","topic1","packages"
"21",22,"Advanced","topic1","packages"
"22",23,"Beginner","topic1","introduction"
"23",24,"Beginner","topic1","introduction"
"24",25,"Intermediate","topic1","packages"
"25",26,"Beginner","topic1","introduction"
"26",27,"Intermediate","topic1","packages"
"27",28,"Intermediate","topic1","packages"
"28",29,"Advanced","topic1","packages"
"29",1,"Intermediate","topic2","other R aspects"
"30",3,"Advanced","topic2","research"
"31",4,"Intermediate","topic2","other R aspects"
"32",5,"Beginner","topic2","packages"
"33",6,"Beginner","topic2","packages"
"34",7,"Intermediate","topic2","other R aspects"
"35",8,"Intermediate","topic2","networking"
"36",9,"Advanced","topic2","other R aspects"
"37",10,"Intermediate","topic2","other R aspects"
"38",11,"Intermediate","topic2","jobs"
"39",12,"Advanced","topic2","packages"
"40",13,"Advanced","topic2","other R aspects"
"41",14,"Beginner","topic2","packages"
"42",15,"Beginner","topic2","packages"
"43",16,"Advanced","topic2","other R aspects"
"44",17,"Intermediate","topic2","other R aspects"
"45",18,"Beginner","topic2","programs"
"46",19,"Intermediate","topic2","other R aspects"
"47",20,"Intermediate","topic2","research"
"48",21,"Intermediate","topic2","other R aspects"
"49",22,"Advanced","topic2","other R aspects"
"50",23,"Beginner","topic2","programs"
"51",24,"Beginner","topic2","packages"
"52",25,"Intermediate","topic2","other R aspects"
"53",26,"Beginner","topic2","packages"
"54",27,"Intermediate","topic2","jobs"
"55",28,"Intermediate","topic2","other R aspects"
"56",29,"Advanced","topic2","other R aspects"
"57",1,"Intermediate","topic3","research"
"58",3,"Advanced","topic3","networking"
"59",4,"Intermediate","topic3","programs"
"60",5,"Beginner","topic3","other R aspects"
"61",6,"Beginner","topic3","other R aspects"
"62",7,"Intermediate","topic3","jobs"
"63",8,"Intermediate","topic3","mentoring"
"64",9,"Advanced","topic3","jobs"
"65",10,"Intermediate","topic3","networking"
"66",11,"Intermediate","topic3","networking"
"67",12,"Advanced","topic3","other R aspects"
"68",14,"Beginner","topic3","other R aspects"
"69",15,"Beginner","topic3","research"
"70",16,"Advanced","topic3","research"
"71",17,"Intermediate","topic3","research"
"72",18,"Beginner","topic3","mentoring"
"73",19,"Intermediate","topic3","jobs"
"74",20,"Intermediate","topic3","jobs"
"75",21,"Intermediate","topic3","programs"
"76",22,"Advanced","topic3","programs"
"77",23,"Beginner","topic3","research"
"78",24,"Beginner","topic3","other R aspects"
"79",25,"Intermediate","topic3","programs"
"80",26,"Beginner","topic3","other R aspects"
"81",27,"Intermediate","topic3","networking"
"82",28,"Intermediate","topic3","research"
"83",29,"Advanced","topic3","networking"
"84",1,"Intermediate","topic4","jobs"
"85",4,"Intermediate","topic4","research"
"86",5,"Beginner","topic4","programs"
"87",6,"Beginner","topic4","programs"
"88",7,"Intermediate","topic4","networking"
"89",9,"Advanced","topic4","networking"
"90",10,"Intermediate","topic4","mentoring"
"91",12,"Advanced","topic4","programs"
"92",14,"Beginner","topic4","programs"
"93",15,"Beginner","topic4","networking"
"94",16,"Advanced","topic4","jobs"
"95",17,"Intermediate","topic4","jobs"
"96",19,"Intermediate","topic4","networking"
"97",20,"Intermediate","topic4","networking"
"98",21,"Intermediate","topic4","research"
"99",22,"Advanced","topic4","research"
"100",23,"Beginner","topic4","jobs"
"101",24,"Beginner","topic4","programs"
"102",25,"Intermediate","topic4","research"
"103",26,"Beginner","topic4","programs"
"104",29,"Advanced","topic4","mentoring"
"105",1,"Intermediate","topic5","networking"
"106",4,"Intermediate","topic5","networking"
"107",5,"Beginner","topic5","research"
"108",6,"Beginner","topic5","research"
"109",7,"Intermediate","topic5","mentoring"
"110",12,"Advanced","topic5","research"
"111",14,"Beginner","topic5","research"
"112",16,"Advanced","topic5","networking"
"113",17,"Intermediate","topic5","networking"
"114",20,"Intermediate","topic5","mentoring"
"115",21,"Intermediate","topic5","jobs"
"116",22,"Advanced","topic5","jobs"
"117",23,"Beginner","topic5","mentoring"
"118",24,"Beginner","topic5","research"
"119",25,"Intermediate","topic5","networking"
"120",26,"Beginner","topic5","research"
"121",4,"Intermediate","topic6","mentoring"
"122",5,"Beginner","topic6","jobs"
"123",6,"Beginner","topic6","jobs"
"124",12,"Advanced","topic6","jobs"
"125",14,"Beginner","topic6","networking"
"126",16,"Advanced","topic6","mentoring"
"127",17,"Intermediate","topic6","mentoring"
"128",22,"Advanced","topic6","networking"
"129",24,"Beginner","topic6","jobs"
"130",26,"Beginner","topic6","jobs"
"131",5,"Beginner","topic7","networking"
"132",6,"Beginner","topic7","networking"
"133",12,"Advanced","topic7","networking"
"134",14,"Beginner","topic7","mentoring"
"135",22,"Advanced","topic7","mentoring"
"136",24,"Beginner","topic7","networking"
"137",26,"Beginner","topic7","networking"
"138",5,"Beginner","topic8","mentoring"
"139",6,"Beginner","topic8","mentoring"
"140",12,"Advanced","topic8","mentoring"
"141",24,"Beginner","topic8","mentoring"
"142",26,"Beginner","topic8","mentoring"
